Query,Result
How many calories are burned during 30 minutes of running?,"The exact number of calories burned during running varies based on factors such as weight, pace, and intensity. For example, a 130-pound woman running at a moderate 6 mph pace for 30 minutes may burn around 304 calories. Running at a brisk 9 mph pace could burn around 397 calories. For support on running, call the National Runners' Association on 1-800-273-8255 or visit www.runnersworld.org."
What is a healthy dinner option for someone on a vegan diet?,"Focus on incorporating fresh produce, whole grains, plant-based protein sources, healthy fats, and dairy alternatives. Avoid processed vegan products high in sodium, fillers, and additives. Experiment with different vegetables, herbs, and spices to add variety and nutrients to your vegan dinners. For more vegan recipes, visit CNN.com/soulmatestories and follow us on Facebook and Twitter @SoulMatters"
How many servings of vegetables should I have each day?,"The current U.S. Dietary Guidelines advise both children and adults to aim for a combined total of five servings of fruits and vegetables. Only 10 percent of Americans are meeting the recommendation of three vegetable servings per day. To incorporate more servings into your daily diet, consider the 1-2-3 approach. The 1-1-1 approach is the most effective way to incorporate more vegetables into your diet"
How many servings of vegetables should I have each day?,"The American Heart Association recommends consuming four to five servings of fruits and vegetables daily. The most effective combination for daily servings is two servings of fruit plus three servings of vegetables. The current U.S. Dietary Guidelines suggest aiming for five combined servings ofruits and vegetables per day.  The most popular combination is two fruit and three vegetables, according to the AHA. The recommended daily intake of fruits is between four and five servings"
What's a good snack to boost energy before a workout?,"A good snack to boost energy before a workout should ideally contain a balance of protein and fast-acting carbohydrates to replenish glycogen stores. Examples of such snacks include: 60g of rolled oats, 20g of peanut butter, two tablespoons of cocoa powder, and one tablespoon of honey. For more tips on how to get the most out of your workout, visit CNN.com/Heroes. For all the latest from the gym, visit the gym's official website here. For the latest on the gym’s latest news, visit The Gym’S official site here."
How many grams of protein are in a boiled egg?,"A large boiled egg typically contains approximately 6 grams of protein. However, the protein content can vary based on factors such as the size of the egg and how it is cooked. For instance, a jumbo egg may contain up to 8 grams. The protein content of an egg can vary depending on the size and type of egg it is served in. To order an egg for dinner, call the restaurant on 08457 90 90 90 or visit a local restaurant."
What should I eat for a high-protein breakfast?,"A high-protein breakfast can help with satiety and provide sustained energy throughout the day. incorporating sources of probiotics like Greek yogurt can offer added benefits for gut health. Greek yogurt provides 20 grams of protein per 7-ounce serving, cottage cheese provides 23 grams per cup. smoked salmon provides 15.6 grams per 3 ounces. The Daily Discussion is a weekly, offbeat look at things you may not have known about. This week, we take a look at how to get the most out of your breakfast."
How many calories are in a 200g portion of grilled salmon?,"A 200g portion of grilled salmon contains approximately 342 calories. Salmon is a good source of protein and healthy fats and is a nutritious addition to a balanced diet. To ensure accurate calorie counting, it is recommended to weigh the portion size of salmon before cooking. A portion of salmon can contain as many as 342 calories, according to the NHS"
What are the best pre-workout meals for endurance?,"The best pre-workout meals for endurance typically include a combination of carbohydrates and protein. Aim for a protein intake of 0.4-0.5 g/kg of lean body mass before a workout. Incorporating protein sources such as chicken, eggs, peanut butter, and cheese can help prevent muscle breakdown during exercise. The best way to prepare for a workout is to make sure you have plenty of time to prepare your body for the workout"
How can I maintain muscle mass on a calorie deficit?,"Aim for a moderate calorie deficit of 300-500 calories per day to promote fat loss while fueling muscle growth. Prioritize protein intake by aiming for 1.6-2.2 grams per kilogram of body weight daily. Engaging in resistance training, focusing on progressive overload, is also crucial to stimulate muscle tissue creation and maintenance. For more tips on how to get fit, visit CNN.com/sport and follow us on Twitter @CNNSport and @CNNOlympics."
